nrOfConversations,nrOfGhostingsAfterInitialMessage,OfOneMessageConversations,percentOfOneMessageConversations,numberOfGhostings
458,104,98,21.39737991,202
461,50,102,22.12581345,152
464,16,56,12.06896552,72
467,5,182,38.97216274,187
467,13,194,41.54175589,207
471,52,223,47.34607219,275
473,4,104,21.98731501,108
479,157,83,17.32776618,240
480,36,123,25.625,159
481,103,227,47.19334719,330
482,8,156,32.36514523,164
490,11,92,18.7755102,103
490,37,136,27.75510204,173
491,16,226,46.02851324,242
493,10,59,11.96754564,69
496,240,120,24.19354839,360
500,36,124,24.8,160
501,25,187,37.3253493,212
508,55,138,27.16535433,193
521,233,101,19.38579655,334
522,80,190,36.39846743,270
532,30,145,27.2556391,175
533,19,161,30.20637899,180
535,22,208,38.87850467,230
538,144,97,18.02973978,241
540,325,93,17.22222222,418
540,3,225,41.66666667,228
547,22,253,46.25228519,275
550,31,258,46.90909091,289
552,140,86,15.57971014,226
554,8,261,47.11191336,269
556,1,187,33.63309353,188
563,25,225,39.96447602,250
564,16,226,40.07092199,242
567,44,121,21.34038801,165
570,2,221,38.77192982,223
578,11,126,21.79930796,137
582,24,215,36.94158076,239
586,3,108,18.43003413,111
586,376,51,8.703071672,427
596,39,144,24.16107383,183
604,165,186,30.79470199,351
606,69,129,21.28712871,198
613,426,72,11.74551387,498
613,3,247,40.29363785,250
618,3,169,27.34627832,172
622,19,214,34.40514469,233
622,5,223,35.85209003,228
624,54,188,30.12820513,242
624,0,142,22.75641026,142
624,17,139,22.27564103,156
627,225,227,36.20414673,452
628,2,205,32.6433121,207
630,104,287,45.55555556,391
637,42,91,14.28571429,133
643,259,205,31.88180404,464
662,38,239,36.10271903,277
663,85,123,18.5520362,208
664,8,309,46.53614458,317
669,209,161,24.06576981,370
670,1,51,7.611940299,52
672,21,142,21.13095238,163
690,74,71,10.28985507,145
697,58,284,40.74605452,342
698,157,137,19.62750716,294
699,180,277,39.62804006,457
710,97,249,35.07042254,346
737,4,241,32.70013569,245
739,66,226,30.58186739,292
745,116,157,21.0738255,273
770,14,240,31.16883117,254
775,12,403,52,415
787,1,286,36.34053367,287
796,95,297,37.31155779,392
800,195,129,16.125,324
809,13,296,36.58838072,309
817,229,104,12.72949816,333
818,319,229,27.99511002,548
827,58,150,18.13784764,208
831,50,204,24.54873646,254
847,45,397,46.87131051,442
870,217,190,21.83908046,407
879,180,169,19.22639363,349
887,64,348,39.23337091,412
889,24,183,20.58492688,207
900,192,200,22.22222222,392
910,6,241,26.48351648,247
917,33,429,46.782988,462
941,43,150,15.94048884,193
944,268,336,35.59322034,604
946,66,315,33.29809725,381
971,102,226,23.27497425,328
990,87,364,36.76767677,451
1014,61,260,25.64102564,321
1020,63,163,15.98039216,226
1048,5,291,27.76717557,296
1051,341,314,29.87630828,655
1054,353,154,14.61100569,507
1068,21,385,36.04868914,406
1071,82,521,48.64612512,603
1076,149,485,45.07434944,634
1105,8,234,21.17647059,242
1116,51,230,20.609319,281
1129,443,233,20.63773251,676
1174,628,231,19.67632027,859
1177,261,496,42.14103653,757
1205,137,561,46.5560166,698
1208,146,532,44.0397351,678
1269,201,426,33.56973995,627
1271,21,591,46.49881983,612
1275,66,138,10.82352941,204
1276,21,106,8.307210031,127
1305,6,248,19.00383142,254
1310,12,579,44.19847328,591
1325,988,212,16,1200
1331,348,477,35.837716,825
1356,150,425,31.34218289,575
1387,163,492,35.47224225,655
1413,253,410,29.01627742,663
1420,200,339,23.87323944,539
1424,30,352,24.71910112,382
1434,237,258,17.9916318,495
1460,271,550,37.67123288,821
1490,5,537,36.04026846,542
1515,29,704,46.46864686,733
1550,143,432,27.87096774,575
1569,107,675,43.0210325,782
1580,297,498,31.51898734,795
1612,15,75,4.652605459,90
1642,38,783,47.68574909,821
1655,297,728,43.98791541,1025
1705,15,1012,59.35483871,1027
1736,266,654,37.67281106,920
1849,516,928,50.18929151,1444
1890,11,848,44.86772487,859
1933,50,412,21.31401966,462
2083,334,570,27.3643783,904
2133,46,854,40.03750586,900
2335,168,636,27.23768737,804
2399,26,1502,62.60942059,1528
2420,659,571,23.59504132,1230
,,,41.31868132,0
,,,45.82573824,0
,,,41.51254954,0
,,,26.30200756,0
,,,38.5561936,0
,,,20.45760431,0
